Measurement	pURPLE1501501_SubRng9_141714828
0	570
1	0.1032
2	0.1056
3	0.1056
4	0.1064
5	0.1061
6	0.1071
7	0.1076
8	0.108
9	0.1078
10	0.1085
11	0.108
12	0.1085
13	0.1092
14	0.1088
15	0.1088
16	0.1093
17	0.1089
18	0.1096
19	0.1102
20	0.1103
21	0.11
22	0.1104
23	0.1102
24	0.1107
25	0.1108
26	0.1109
27	0.1109
28	0.1116
29	0.1116
30	0.1122
31	0.1119
32	0.1112
33	0.1114
34	0.1117
35	0.1124
36	0.1119
37	0.1119
38	0.1118
39	0.1119
40	0.1119
41	0.1118
42	0.1117
43	0.1119
44	0.1119
45	0.1126
46	0.1122
47	0.1128
48	0.113
49	0.113
50	0.1122
51	0.1126
52	0.1128
53	0.1125
54	0.1121
55	0.1129
56	0.113
57	0.1124
58	0.1133
59	0.1134
60	0.1125
61	0.1131
62	0.1126
63	0.1134
64	0.1134
65	0.1136
66	0.1123
67	0.1129
68	0.1133
69	0.1125
70	0.1126
71	0.1139
72	0.1128
73	0.1136
74	0.113
75	0.1135
76	0.1135
77	0.1129
78	0.1134
79	0.1135
80	0.1131
81	0.1138
82	0.1139
83	0.1138
84	0.1138
85	0.1133
86	0.1134
87	0.114
88	0.1138
89	0.1129
90	0.1128
91	0.1133
92	0.1136
93	0.1133
94	0.113
95	0.1133
96	0.1132
97	0.1137
98	0.1137
99	0.1144
100	0.1134
101	0.1133
102	0.1137
103	0.114
104	0.1147
105	0.1138
106	0.1137
107	0.114
108	0.1137
109	0.1136
110	0.1135
111	0.1133
112	0.1141
113	0.114
114	0.1139
115	0.1146
116	0.1136
117	0.1132
118	0.1131
119	0.113
120	0.1141
121	0.1143
122	0.1138
123	0.1143
124	0.1138
125	0.1134
126	0.1139
127	0.1135
128	0.114
129	0.1136
130	0.1139
131	0.1141
132	0.1143
133	0.1138
134	0.1141
135	0.114
136	0.1149
137	0.1141
138	0.1144
139	0.1141
140	0.1138
141	0.1133
142	0.1144
143	0.1144
144	0.1142
145	0.1136
146	0.1146
147	0.1135
148	0.1137
149	0.114
150	0.1142
151	0.115
152	1.3335
153	2.5916
154	3.6119
155	4.4164
156	5.0337
157	5.5562
158	5.9696
159	6.2658
160	6.5285
161	6.7354
162	6.9183
163	7.0953
164	7.2008
165	7.3616
166	7.4173
167	7.5026
168	7.573
169	7.648
170	7.7227
171	7.7077
172	7.708
173	7.802
174	7.85
175	7.8448
176	7.8584
177	7.8584
178	7.8622
179	7.9407
180	7.9722
181	7.8936
